,Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
3832,2022-02-08,S002,P0013,Groceries,South,444,112,406,23.68,5,Sunny,0,26.18,Winter,0,135
3834,2022-02-08,S002,P0015,Clothing,South,653,96,0,65.77,20,Sunny,1,63.46,Winter,0,137
3838,2022-02-08,S002,P0019,Clothing,South,364,103,0,84.74,25,Sunny,1,83.27,Winter,0,163
3841,2022-02-08,S003,P0002,Groceries,East,309,194,0,65.05,20,Snowy,1,58.32,Winter,0,211
3842,2022-02-08,S003,P0003,Electronics,East,168,114,106,68.16,25,Snowy,1,82.49,Winter,0,100
3845,2022-02-08,S003,P0006,Toys,East,86,86,175,36.2,25,Snowy,1,42.49,Winter,0,164
3846,2022-02-08,S003,P0007,Groceries,East,288,105,681,18.55,10,Snowy,0,18.3,Winter,0,159
3850,2022-02-08,S003,P0011,Electronics,East,206,206,0,144.6,15,Snowy,1,128.1,Winter,0,187
3852,2022-02-08,S003,P0013,Groceries,East,820,111,0,76.62,0,Snowy,0,67.36,Winter,0,98
3854,2022-02-08,S003,P0015,Groceries,East,867,150,0,100.65,15,Snowy,1,91.8,Winter,0,142
3861,2022-02-08,S004,P0002,Groceries,West,530,201,0,26.98,15,Sunny,1,24.27,Winter,0,245
3867,2022-02-08,S004,P0008,Furniture,West,114,86,80,84.1,25,Sunny,1,73.17,Winter,0,97
3868,2022-02-08,S004,P0009,Clothing,West,565,133,618,159.58,0,Sunny,0,182.83,Winter,0,210
3869,2022-02-08,S004,P0010,Groceries,West,1161,55,0,22.29,10,Sunny,0,22.26,Winter,0,70
3870,2022-02-08,S004,P0011,Clothing,West,611,153,0,65.86,20,Sunny,1,69.33,Winter,0,209
3871,2022-02-08,S004,P0012,Electronics,West,127,106,142,115.67,25,Sunny,1,114.55,Winter,0,177
3872,2022-02-08,S004,P0013,Groceries,West,524,127,540,23.95,10,Sunny,0,26.46,Winter,0,187
3885,2022-02-08,S005,P0006,Groceries,North,992,82,0,55.67,10,Snowy,1,61.1,Winter,0,110
3890,2022-02-08,S005,P0011,Electronics,North,389,211,0,80.8,25,Snowy,1,73.54,Winter,0,177
3891,2022-02-08,S005,P0012,Furniture,North,556,52,0,99.37,25,Snowy,1,109.41,Winter,0,81
3895,2022-02-08,S005,P0016,Toys,North,224,85,337,36.76,5,Snowy,0,34.87,Winter,0,110
3898,2022-02-08,S005,P0019,Furniture,North,309,112,0,120.09,25,Snowy,1,108.23,Winter,0,100
3901,2022-02-09,S001,P0002,Clothing,North,123,123,338,95.8,10,Sunny,0,105.31,Winter,0,284
3902,2022-02-09,S001,P0003,Clothing,North,327,316,1035,71.89,25,Sunny,1,71.52,Winter,0,292
3905,2022-02-09,S001,P0006,Toys,North,314,82,321,40.73,0,Sunny,0,45.34,Winter,0,92
3910,2022-02-09,S001,P0011,Furniture,North,408,100,0,171.01,10,Sunny,1,205.9,Winter,0,122
3913,2022-02-09,S001,P0014,Groceries,North,461,149,534,83.5,10,Sunny,1,72.92,Winter,0,161
3915,2022-02-09,S001,P0016,Groceries,North,470,171,649,40.94,20,Sunny,1,43.14,Winter,0,195
3916,2022-02-09,S001,P0017,Toys,North,44,44,199,25.59,25,Sunny,1,24.48,Winter,0,222
3918,2022-02-09,S001,P0019,Furniture,North,70,47,50,75.25,25,Sunny,1,81.59,Winter,0,44
3922,2022-02-09,S002,P0003,Groceries,South,246,128,0,80.76,25,Sunny,1,95.04,Winter,0,198
3930,2022-02-09,S002,P0011,Groceries,South,627,196,0,101.79,20,Sunny,1,101.62,Winter,0,179
3931,2022-02-09,S002,P0012,Electronics,South,868,114,0,70.69,10,Sunny,0,80.89,Winter,0,137
3933,2022-02-09,S002,P0014,Electronics,South,505,117,537,140.03,10,Sunny,1,130.81,Winter,0,150
3935,2022-02-09,S002,P0016,Clothing,South,369,199,336,108.63,10,Sunny,1,104.82,Winter,0,184
3936,2022-02-09,S002,P0017,Toys,South,612,189,0,19.22,25,Sunny,1,20.3,Winter,0,162
3938,2022-02-09,S002,P0019,Clothing,South,261,172,0,100.49,20,Sunny,1,108.47,Winter,0,226
3942,2022-02-09,S003,P0003,Electronics,East,160,114,177,88.72,20,Cloudy,1,101.17,Winter,0,167
3944,2022-02-09,S003,P0005,Toys,East,1119,100,0,23.33,0,Cloudy,0,27.17,Winter,0,104
3953,2022-02-09,S003,P0014,Groceries,East,319,69,0,72.73,20,Cloudy,1,87.66,Winter,0,85
3954,2022-02-09,S003,P0015,Groceries,East,717,172,820,115.73,10,Cloudy,0,107.0,Winter,0,172
3956,2022-02-09,S003,P0017,Furniture,East,313,132,410,111.88,25,Cloudy,1,100.06,Winter,0,121
3961,2022-02-09,S004,P0002,Groceries,West,329,117,342,23.76,5,Sunny,0,25.25,Winter,0,168
3962,2022-02-09,S004,P0003,Furniture,West,348,81,447,151.39,15,Sunny,1,137.66,Winter,0,133
3963,2022-02-09,S004,P0004,Groceries,West,564,186,543,64.58,0,Sunny,0,71.54,Winter,0,159
3969,2022-02-09,S004,P0010,Groceries,West,1106,93,0,22.56,10,Sunny,0,25.14,Winter,0,88
3970,2022-02-09,S004,P0011,Clothing,West,1471,255,0,82.7,20,Sunny,1,95.39,Winter,0,315
3975,2022-02-09,S004,P0016,Furniture,West,451,123,0,109.98,20,Sunny,1,103.03,Winter,0,104
3976,2022-02-09,S004,P0017,Clothing,West,152,152,199,103.32,20,Sunny,1,92.28,Winter,0,173
3977,2022-02-09,S004,P0018,Furniture,West,101,92,115,198.86,0,Sunny,0,185.01,Winter,0,122
3985,2022-02-09,S005,P0006,Groceries,North,910,152,0,70.93,0,Sunny,0,78.03,Winter,0,156
3986,2022-02-09,S005,P0007,Groceries,North,276,158,319,96.58,10,Sunny,0,92.85,Winter,0,171
3990,2022-02-09,S005,P0011,Electronics,North,178,137,0,75.13,25,Sunny,1,65.23,Winter,0,150
3995,2022-02-09,S005,P0016,Toys,North,139,139,559,39.38,10,Sunny,1,41.91,Winter,0,170
4001,2022-02-10,S001,P0002,Clothing,North,338,279,308,95.32,15,Sunny,1,92.76,Winter,0,285
4002,2022-02-10,S001,P0003,Clothing,North,11,11,0,54.39,25,Sunny,1,58.59,Winter,0,191
4004,2022-02-10,S001,P0005,Groceries,North,440,217,649,73.43,5,Sunny,0,86.04,Winter,0,190
4005,2022-02-10,S001,P0006,Toys,North,232,153,0,36.77,25,Sunny,1,39.13,Winter,0,153
4006,2022-02-10,S001,P0007,Groceries,North,629,106,569,27.23,10,Sunny,0,31.83,Winter,0,164
4009,2022-02-10,S001,P0010,Furniture,North,221,112,648,134.3,20,Sunny,1,157.22,Winter,0,161
4010,2022-02-10,S001,P0011,Furniture,North,308,95,300,200.0,0,Sunny,0,218.27,Winter,0,140
4011,2022-02-10,S001,P0012,Groceries,North,307,212,329,79.46,25,Sunny,1,86.91,Winter,0,183
4019,2022-02-10,S001,P0020,Furniture,North,474,69,505,100.05,25,Sunny,1,114.19,Winter,0,108
4020,2022-02-10,S002,P0001,Groceries,South,820,56,0,66.4,5,Cloudy,0,70.27,Winter,0,56
4022,2022-02-10,S002,P0003,Groceries,South,672,71,0,63.94,25,Cloudy,1,67.88,Winter,0,114
4025,2022-02-10,S002,P0006,Clothing,South,104,104,162,66.58,25,Cloudy,1,57.52,Winter,0,181
4029,2022-02-10,S002,P0010,Groceries,South,66,66,118,80.18,20,Cloudy,1,94.88,Winter,0,137
4030,2022-02-10,S002,P0011,Groceries,South,431,187,543,118.72,5,Cloudy,0,103.88,Winter,0,173
4031,2022-02-10,S002,P0012,Electronics,South,754,79,0,53.07,25,Cloudy,1,49.82,Winter,0,88
4038,2022-02-10,S002,P0019,Clothing,South,848,82,0,90.98,0,Cloudy,0,78.64,Winter,0,92
4039,2022-02-10,S002,P0020,Furniture,South,174,103,245,112.82,20,Cloudy,1,133.32,Winter,0,99
4041,2022-02-10,S003,P0002,Groceries,East,548,189,581,72.47,15,Snowy,1,71.48,Winter,0,231
4044,2022-02-10,S003,P0005,Toys,East,1019,101,0,21.17,10,Snowy,0,18.99,Winter,0,91
4052,2022-02-10,S003,P0013,Groceries,East,645,128,765,89.19,5,Snowy,0,77.09,Winter,0,166
4053,2022-02-10,S003,P0014,Groceries,East,892,182,0,117.78,0,Snowy,0,136.21,Winter,0,170
4059,2022-02-10,S003,P0020,Clothing,East,466,217,789,96.17,10,Snowy,1,89.89,Winter,0,205
4061,2022-02-10,S004,P0002,Groceries,West,212,181,549,28.32,15,Cloudy,1,30.33,Winter,0,292
4062,2022-02-10,S004,P0003,Furniture,West,267,72,0,123.37,25,Cloudy,1,117.88,Winter,0,108
4065,2022-02-10,S004,P0006,Groceries,West,217,83,271,28.87,25,Cloudy,1,33.04,Winter,0,114
4069,2022-02-10,S004,P0010,Groceries,West,1013,124,0,29.82,15,Cloudy,1,29.6,Winter,0,184
4070,2022-02-10,S004,P0011,Clothing,West,1216,90,0,61.08,0,Cloudy,0,67.29,Winter,0,102
4079,2022-02-10,S004,P0020,Furniture,West,242,67,0,111.86,20,Cloudy,1,130.53,Winter,0,93
4081,2022-02-10,S005,P0002,Electronics,North,361,65,331,36.37,15,Sunny,1,40.0,Winter,0,104
4082,2022-02-10,S005,P0003,Toys,North,236,160,124,28.6,25,Sunny,1,27.75,Winter,0,154
4084,2022-02-10,S005,P0005,Groceries,North,225,133,360,21.29,0,Sunny,0,19.98,Winter,0,170
4085,2022-02-10,S005,P0006,Groceries,North,758,202,572,70.52,10,Sunny,1,62.14,Winter,0,174
4089,2022-02-10,S005,P0010,Groceries,North,672,169,710,68.82,20,Sunny,1,64.53,Winter,0,209
4091,2022-02-10,S005,P0012,Furniture,North,471,102,447,111.08,20,Sunny,1,120.99,Winter,0,95
4093,2022-02-10,S005,P0014,Furniture,North,348,109,314,186.51,0,Sunny,0,185.78,Winter,0,94
4099,2022-02-10,S005,P0020,Toys,North,107,102,113,27.93,20,Sunny,1,31.48,Winter,0,134
4103,2022-02-11,S001,P0004,Electronics,North,348,98,0,95.71,20,Sunny,1,111.61,Winter,0,127
4110,2022-02-11,S001,P0011,Furniture,North,213,106,0,215.84,0,Sunny,0,261.22,Winter,0,167
4117,2022-02-11,S001,P0018,Groceries,North,122,122,174,61.78,20,Sunny,1,54.23,Winter,0,161
4121,2022-02-11,S002,P0002,Toys,South,384,194,377,40.98,5,Cloudy,0,37.05,Winter,0,166
4123,2022-02-11,S002,P0004,Groceries,South,489,27,0,25.64,20,Cloudy,1,29.68,Winter,0,25
4126,2022-02-11,S002,P0007,Toys,South,388,118,433,33.45,0,Cloudy,0,28.76,Winter,0,129
4134,2022-02-11,S002,P0015,Clothing,South,405,159,551,81.83,5,Cloudy,0,72.18,Winter,0,153
4136,2022-02-11,S002,P0017,Toys,South,365,135,364,19.5,20,Cloudy,1,17.35,Winter,0,126
4140,2022-02-11,S003,P0001,Toys,East,95,95,321,21.3,0,Sunny,0,20.62,Winter,0,156
4143,2022-02-11,S003,P0004,Groceries,East,534,168,577,22.44,20,Sunny,1,24.79,Winter,0,163
4144,2022-02-11,S003,P0005,Toys,East,918,75,0,24.89,0,Sunny,0,29.83,Winter,0,124
4150,2022-02-11,S003,P0011,Electronics,East,382,122,319,169.32,0,Sunny,0,163.2,Winter,0,185
4156,2022-02-11,S003,P0017,Furniture,East,103,103,606,152.44,10,Sunny,1,148.18,Winter,0,165
4157,2022-02-11,S003,P0018,Furniture,East,284,117,476,139.55,15,Sunny,1,129.63,Winter,0,119
4160,2022-02-11,S004,P0001,Groceries,West,394,110,569,10.71,10,Snowy,0,12.31,Winter,0,120
4163,2022-02-11,S004,P0004,Groceries,West,244,35,0,36.43,25,Snowy,1,34.52,Winter,0,55
4169,2022-02-11,S004,P0010,Groceries,West,889,168,0,32.74,5,Snowy,0,31.94,Winter,0,177
4170,2022-02-11,S004,P0011,Clothing,West,1126,129,0,60.03,5,Snowy,0,64.0,Winter,0,113
4173,2022-02-11,S004,P0014,Furniture,West,190,62,178,184.69,0,Snowy,0,220.58,Winter,0,103
4176,2022-02-11,S004,P0017,Clothing,West,119,18,0,59.79,20,Snowy,1,70.12,Winter,0,25
4177,2022-02-11,S004,P0018,Furniture,West,147,76,0,126.98,20,Snowy,1,151.3,Winter,0,69
4183,2022-02-11,S005,P0004,Groceries,North,164,157,243,10.79,10,Sunny,1,10.72,Winter,0,243
4188,2022-02-11,S005,P0009,Groceries,North,267,136,393,108.04,10,Sunny,0,98.01,Winter,0,155
4197,2022-02-11,S005,P0018,Clothing,North,208,178,174,21.64,25,Sunny,1,23.91,Winter,0,192
4204,2022-02-12,S001,P0005,Groceries,North,157,157,1097,78.87,10,Sunny,1,85.24,Winter,0,243
4206,2022-02-12,S001,P0007,Groceries,North,352,97,0,23.5,20,Sunny,1,26.57,Winter,0,153
4208,2022-02-12,S001,P0009,Clothing,North,137,137,178,95.33,20,Sunny,1,104.23,Winter,0,196
4210,2022-02-12,S001,P0011,Furniture,North,407,160,0,197.09,5,Sunny,0,175.66,Winter,0,135
4211,2022-02-12,S001,P0012,Groceries,North,329,138,371,90.35,10,Sunny,0,102.76,Winter,0,162
4219,2022-02-12,S001,P0020,Furniture,North,315,119,0,110.56,20,Sunny,1,106.33,Winter,0,103
4224,2022-02-12,S002,P0005,Electronics,South,381,110,400,77.79,25,Snowy,1,68.1,Winter,0,114
4225,2022-02-12,S002,P0006,Clothing,South,80,80,206,63.95,25,Snowy,1,76.35,Winter,0,185
4226,2022-02-12,S002,P0007,Toys,South,270,144,0,28.22,20,Snowy,1,26.69,Winter,0,148
4228,2022-02-12,S002,P0009,Groceries,South,67,67,0,56.34,20,Snowy,1,60.51,Winter,0,137
4232,2022-02-12,S002,P0013,Groceries,South,531,125,0,22.3,20,Snowy,1,22.16,Winter,0,157
4239,2022-02-12,S002,P0020,Furniture,South,141,101,362,126.36,20,Snowy,1,114.62,Winter,0,118
4244,2022-02-12,S003,P0005,Toys,East,843,40,0,15.77,15,Cloudy,1,18.22,Winter,0,41
4246,2022-02-12,S003,P0007,Groceries,East,992,189,1078,19.25,25,Cloudy,1,17.55,Winter,0,248
4252,2022-02-12,S003,P0013,Groceries,East,476,140,0,82.94,20,Cloudy,1,74.56,Winter,0,205
4255,2022-02-12,S003,P0016,Electronics,East,69,69,344,113.65,10,Cloudy,0,98.32,Winter,0,154
4265,2022-02-12,S004,P0006,Groceries,West,309,149,332,40.28,10,Snowy,1,45.38,Winter,0,166
4266,2022-02-12,S004,P0007,Groceries,West,395,193,791,33.76,10,Snowy,1,37.95,Winter,0,190
4268,2022-02-12,S004,P0009,Clothing,West,679,164,708,131.78,20,Snowy,1,145.72,Winter,0,223
4270,2022-02-12,S004,P0011,Clothing,West,997,148,0,72.35,0,Snowy,0,65.21,Winter,0,141
4281,2022-02-12,S005,P0002,Electronics,North,166,166,615,50.85,10,Sunny,0,48.91,Winter,0,183
4283,2022-02-12,S005,P0004,Groceries,North,250,206,165,10.34,0,Sunny,0,12.16,Winter,0,202
4284,2022-02-12,S005,P0005,Groceries,North,401,107,0,13.5,25,Sunny,1,14.27,Winter,0,129
4286,2022-02-12,S005,P0007,Groceries,North,298,211,612,107.4,20,Sunny,1,118.17,Winter,0,290
4292,2022-02-12,S005,P0013,Groceries,North,436,155,865,100.0,15,Sunny,1,93.98,Winter,0,250
4294,2022-02-12,S005,P0015,Groceries,North,214,214,342,62.0,10,Sunny,0,65.93,Winter,0,211
4295,2022-02-12,S005,P0016,Toys,North,821,64,0,27.98,10,Sunny,0,31.71,Winter,0,61
4302,2022-02-13,S001,P0003,Clothing,North,1431,131,0,48.03,20,Snowy,1,57.32,Winter,0,122
4304,2022-02-13,S001,P0005,Groceries,North,0,0,0,39.12,20,Snowy,1,44.39,Winter,0,45
4309,2022-02-13,S001,P0010,Furniture,North,298,117,0,125.66,20,Snowy,1,136.67,Winter,0,137
4311,2022-02-13,S001,P0012,Groceries,North,191,191,0,94.99,20,Snowy,1,83.36,Winter,0,208
4320,2022-02-13,S002,P0001,Groceries,South,565,147,580,104.06,0,Snowy,0,99.76,Winter,0,165
4322,2022-02-13,S002,P0003,Groceries,South,316,127,429,87.82,10,Snowy,1,94.04,Winter,0,160
4326,2022-02-13,S002,P0007,Toys,South,126,101,0,25.9,20,Snowy,1,29.55,Winter,0,136
4329,2022-02-13,S002,P0010,Groceries,South,104,91,107,74.07,20,Snowy,1,70.13,Winter,0,95
4332,2022-02-13,S002,P0013,Groceries,South,406,81,303,24.73,0,Snowy,0,21.57,Winter,0,116
4338,2022-02-13,S002,P0019,Clothing,South,583,97,511,78.43,20,Snowy,1,84.12,Winter,0,131
4344,2022-02-13,S003,P0005,Toys,East,803,210,653,23.4,25,Cloudy,1,22.47,Winter,0,187
4346,2022-02-13,S003,P0007,Groceries,East,803,150,0,15.22,20,Cloudy,1,18.3,Winter,0,149
4349,2022-02-13,S003,P0010,Groceries,East,139,113,141,38.68,25,Cloudy,1,38.33,Winter,0,174
4354,2022-02-13,S003,P0015,Groceries,East,1012,246,0,109.56,20,Cloudy,1,130.9,Winter,0,218
4357,2022-02-13,S003,P0018,Furniture,East,108,108,484,144.68,10,Cloudy,0,174.59,Winter,0,129
4364,2022-02-13,S004,P0005,Clothing,West,144,112,134,66.61,25,Cloudy,1,63.79,Winter,0,142
4366,2022-02-13,S004,P0007,Groceries,West,202,116,0,26.72,25,Cloudy,1,28.65,Winter,0,171
4369,2022-02-13,S004,P0010,Groceries,West,594,87,490,25.07,20,Cloudy,1,22.24,Winter,0,143
4370,2022-02-13,S004,P0011,Clothing,West,849,131,0,64.63,5,Cloudy,0,69.35,Winter,0,137
4371,2022-02-13,S004,P0012,Electronics,West,75,75,148,117.76,20,Cloudy,1,117.17,Winter,0,159
4374,2022-02-13,S004,P0015,Furniture,West,255,119,286,85.41,20,Cloudy,1,98.8,Winter,0,103
4378,2022-02-13,S004,P0019,Clothing,West,118,83,147,57.75,20,Cloudy,1,49.37,Winter,0,138
4379,2022-02-13,S004,P0020,Furniture,West,45,45,283,121.6,20,Cloudy,1,128.65,Winter,0,119
4382,2022-02-13,S005,P0003,Toys,North,214,48,0,22.32,20,Snowy,1,24.55,Winter,0,72
4389,2022-02-13,S005,P0010,Groceries,North,1068,74,0,44.55,20,Snowy,1,53.32,Winter,0,77
4391,2022-02-13,S005,P0012,Furniture,North,237,82,0,114.4,20,Snowy,1,100.26,Winter,0,89
4394,2022-02-13,S005,P0015,Groceries,North,0,0,403,53.02,25,Snowy,1,57.53,Winter,0,222
4398,2022-02-13,S005,P0019,Furniture,North,152,40,134,106.14,25,Snowy,1,104.29,Winter,0,64
4401,2022-02-14,S001,P0002,Clothing,North,264,185,0,71.22,20,Snowy,1,71.18,Winter,0,184
4402,2022-02-14,S001,P0003,Clothing,North,1300,52,0,45.76,10,Snowy,0,51.8,Winter,0,72
4403,2022-02-14,S001,P0004,Electronics,North,392,46,0,74.14,25,Snowy,1,65.22,Winter,0,56
4404,2022-02-14,S001,P0005,Groceries,North,649,91,0,54.26,20,Snowy,1,60.86,Winter,0,142
4406,2022-02-14,S001,P0007,Groceries,North,763,84,0,21.13,20,Snowy,1,24.19,Winter,0,117
4408,2022-02-14,S001,P0009,Clothing,North,112,112,161,89.18,25,Snowy,1,94.3,Winter,0,195
4409,2022-02-14,S001,P0010,Furniture,North,829,108,0,129.65,15,Snowy,1,120.17,Winter,0,111
4410,2022-02-14,S001,P0011,Furniture,North,214,109,183,145.91,20,Snowy,1,163.26,Winter,0,109
4414,2022-02-14,S001,P0015,Toys,North,143,143,209,16.73,20,Snowy,1,18.35,Winter,0,185
4419,2022-02-14,S001,P0020,Furniture,North,625,63,0,98.17,20,Snowy,1,103.45,Winter,0,83
4421,2022-02-14,S002,P0002,Toys,South,382,126,0,28.61,25,Cloudy,1,34.43,Winter,0,141
4424,2022-02-14,S002,P0005,Electronics,South,120,97,649,93.94,20,Cloudy,1,83.07,Winter,0,157
4426,2022-02-14,S002,P0007,Toys,South,458,109,480,27.51,20,Cloudy,1,31.98,Winter,0,157
4430,2022-02-14,S002,P0011,Groceries,South,480,113,406,95.06,15,Cloudy,1,103.35,Winter,0,151
4434,2022-02-14,S002,P0015,Clothing,South,113,113,893,68.09,25,Cloudy,1,75.18,Winter,0,192
4435,2022-02-14,S002,P0016,Clothing,South,385,139,0,90.41,20,Cloudy,1,88.33,Winter,0,159
4441,2022-02-14,S003,P0002,Groceries,East,534,272,780,72.45,15,Sunny,1,72.07,Winter,0,231
4444,2022-02-14,S003,P0005,Toys,East,593,150,0,26.05,20,Sunny,1,25.15,Winter,0,204
4447,2022-02-14,S003,P0008,Clothing,East,340,134,0,102.97,25,Sunny,1,100.34,Winter,0,134
4449,2022-02-14,S003,P0010,Groceries,East,167,136,200,40.96,25,Sunny,1,36.87,Winter,0,196
4452,2022-02-14,S003,P0013,Groceries,East,952,199,0,93.72,10,Sunny,0,87.53,Winter,0,206
4455,2022-02-14,S003,P0016,Electronics,East,495,216,553,125.17,20,Sunny,1,143.77,Winter,0,263
4458,2022-02-14,S003,P0019,Groceries,East,119,119,252,59.9,25,Sunny,1,56.4,Winter,0,212
4459,2022-02-14,S003,P0020,Clothing,East,789,142,0,69.36,20,Sunny,1,81.78,Winter,0,145
4460,2022-02-14,S004,P0001,Groceries,West,8,8,505,12.03,5,Cloudy,0,12.76,Winter,0,141
4461,2022-02-14,S004,P0002,Groceries,West,457,133,0,18.06,25,Cloudy,1,21.16,Winter,0,154
4463,2022-02-14,S004,P0004,Groceries,West,667,82,0,42.77,25,Cloudy,1,47.89,Winter,0,116
4466,2022-02-14,S004,P0007,Groceries,West,86,61,0,22.43,25,Cloudy,1,19.83,Winter,0,95
4473,2022-02-14,S004,P0014,Furniture,West,146,146,309,183.92,15,Cloudy,1,175.94,Winter,0,138
4474,2022-02-14,S004,P0015,Furniture,West,136,74,314,87.3,25,Cloudy,1,86.18,Winter,0,114
4478,2022-02-14,S004,P0019,Clothing,West,182,122,210,65.41,20,Cloudy,1,61.25,Winter,0,184
4479,2022-02-14,S004,P0020,Furniture,West,209,103,0,115.09,25,Cloudy,1,122.73,Winter,0,122
4483,2022-02-14,S005,P0004,Groceries,North,181,117,94,6.1,25,Snowy,1,6.47,Winter,0,115
4484,2022-02-14,S005,P0005,Groceries,North,210,146,434,20.28,10,Snowy,1,24.25,Winter,0,213
4485,2022-02-14,S005,P0006,Groceries,North,924,65,0,61.19,0,Snowy,0,54.36,Winter,0,91
4486,2022-02-14,S005,P0007,Groceries,North,613,219,0,92.84,25,Snowy,1,83.24,Winter,0,229
4487,2022-02-14,S005,P0008,Groceries,North,103,103,122,49.14,25,Snowy,1,52.87,Winter,0,111
4488,2022-02-14,S005,P0009,Groceries,North,393,122,380,83.85,25,Snowy,1,79.65,Winter,0,131
4489,2022-02-14,S005,P0010,Groceries,North,994,98,0,56.5,15,Snowy,1,51.0,Winter,0,115
4490,2022-02-14,S005,P0011,Electronics,North,447,74,0,63.07,20,Snowy,1,59.14,Winter,0,74
4494,2022-02-14,S005,P0015,Groceries,North,342,129,0,51.41,20,Snowy,1,46.29,Winter,0,164
4495,2022-02-14,S005,P0016,Toys,North,709,146,0,31.51,20,Snowy,1,38.03,Winter,0,132
4498,2022-02-14,S005,P0019,Furniture,North,112,61,0,125.43,20,Snowy,1,109.6,Winter,0,94
4499,2022-02-14,S005,P0020,Toys,North,101,74,101,25.52,20,Snowy,1,28.96,Winter,0,104
4500,2022-02-15,S001,P0001,Electronics,North,436,109,0,62.09,25,Snowy,1,68.99,Winter,0,141
4502,2022-02-15,S001,P0003,Clothing,North,1248,210,0,67.5,10,Snowy,1,66.6,Winter,0,184
4505,2022-02-15,S001,P0006,Toys,North,387,125,452,39.11,20,Snowy,1,34.32,Winter,0,134
4506,2022-02-15,S001,P0007,Groceries,North,679,118,480,21.8,25,Snowy,1,25.69,Winter,0,149
4510,2022-02-15,S001,P0011,Furniture,North,105,84,0,166.66,0,Snowy,0,197.0,Winter,0,82
4511,2022-02-15,S001,P0012,Groceries,North,269,215,346,94.99,10,Snowy,1,114.42,Winter,0,181
4513,2022-02-15,S001,P0014,Groceries,North,304,114,345,59.1,20,Snowy,1,63.93,Winter,0,102
4519,2022-02-15,S001,P0020,Furniture,North,562,62,0,100.36,20,Snowy,1,98.62,Winter,0,75
4525,2022-02-15,S002,P0006,Clothing,South,83,79,68,45.98,25,Snowy,1,53.25,Winter,0,76
4526,2022-02-15,S002,P0007,Toys,South,349,148,0,26.32,20,Snowy,1,28.59,Winter,0,141
4531,2022-02-15,S002,P0012,Electronics,South,405,92,397,55.18,25,Snowy,1,61.07,Winter,0,116
4538,2022-02-15,S002,P0019,Clothing,South,375,69,0,64.73,25,Snowy,1,70.11,Winter,0,91
4539,2022-02-15,S002,P0020,Furniture,South,481,103,0,104.03,25,Snowy,1,114.82,Winter,0,94
4542,2022-02-15,S003,P0003,Electronics,East,222,92,0,87.8,20,Cloudy,1,77.83,Winter,0,144
4552,2022-02-15,S003,P0013,Groceries,East,753,43,0,46.73,20,Cloudy,1,51.56,Winter,0,38
4553,2022-02-15,S003,P0014,Groceries,East,319,80,339,78.5,25,Cloudy,1,83.34,Winter,0,129
4556,2022-02-15,S003,P0017,Furniture,East,871,78,0,112.12,10,Cloudy,0,104.75,Winter,0,67
4558,2022-02-15,S003,P0019,Groceries,East,252,164,0,49.77,25,Cloudy,1,53.89,Winter,0,159
4559,2022-02-15,S003,P0020,Clothing,East,647,171,688,74.85,25,Cloudy,1,63.96,Winter,0,178
4562,2022-02-15,S004,P0003,Furniture,West,363,50,0,108.27,25,Snowy,1,100.74,Winter,0,69
4565,2022-02-15,S004,P0006,Groceries,West,250,140,0,33.98,25,Snowy,1,33.49,Winter,0,152
4566,2022-02-15,S004,P0007,Groceries,West,25,25,0,28.45,20,Snowy,1,31.2,Winter,0,170
4568,2022-02-15,S004,P0009,Clothing,West,1043,153,0,124.01,5,Snowy,0,147.76,Winter,0,135
4572,2022-02-15,S004,P0013,Groceries,West,460,118,520,21.54,15,Snowy,1,24.34,Winter,0,168
4573,2022-02-15,S004,P0014,Furniture,West,168,118,0,144.82,25,Snowy,1,130.54,Winter,0,101
4582,2022-02-15,S005,P0003,Toys,North,183,90,123,24.37,25,Snowy,1,28.08,Winter,0,117
4585,2022-02-15,S005,P0006,Groceries,North,859,187,0,71.77,10,Snowy,1,67.31,Winter,0,180
4586,2022-02-15,S005,P0007,Groceries,North,394,65,0,66.97,20,Snowy,1,64.62,Winter,0,88
4589,2022-02-15,S005,P0010,Groceries,North,896,157,0,73.16,10,Snowy,0,64.89,Winter,0,186
4590,2022-02-15,S005,P0011,Electronics,North,373,83,374,83.68,0,Snowy,0,73.13,Winter,0,92
4591,2022-02-15,S005,P0012,Furniture,North,525,92,511,110.9,25,Snowy,1,128.84,Winter,0,114
4592,2022-02-15,S005,P0013,Groceries,North,981,122,0,73.52,25,Snowy,1,62.64,Winter,0,174
4593,2022-02-15,S005,P0014,Furniture,North,270,108,311,159.99,10,Snowy,1,169.54,Winter,0,95
4600,2022-02-16,S001,P0001,Electronics,North,327,114,0,58.68,20,Sunny,1,70.98,Winter,0,102
4601,2022-02-16,S001,P0002,Clothing,North,98,43,50,42.85,25,Sunny,1,38.35,Winter,0,45
4602,2022-02-16,S001,P0003,Clothing,North,1038,106,0,55.62,5,Sunny,0,65.85,Winter,0,114
4604,2022-02-16,S001,P0005,Groceries,North,1570,119,0,61.74,20,Sunny,1,73.33,Winter,0,189
4610,2022-02-16,S001,P0011,Furniture,North,204,153,309,217.33,0,Sunny,0,197.84,Winter,0,151
4615,2022-02-16,S001,P0016,Groceries,North,324,174,538,48.08,10,Sunny,1,45.59,Winter,0,191
